id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
11,Imatran Musiikkiopisto,"Virastokatu 1, 55100 Imatra","Virastokatu 1, FI-55120 Imatra, Finland",address,61.19181,28.77868,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Vesi on jo vuosia tullut katon läpi useista eri kohdista. Opettajat, jotka ovat opettaneet III kerroksessa, ovat oireilleet siellä mutta muutettuaan II kerrokseen oireet loppuvat.<br />Toimistossa, jossa ollaan enemmän, silmäoireita, yskää jne",Sisäilmanlaadun tutkimuksilla,Tuloksissa on aina vastaus  'Ei merkittävää haittaa',2005,Ei,Ei,Ei,0 – 10 000 €,Ei,Ilmastointia on yritetty puhdistaa ja säätää. Ei tietoa mikä estää,1986,350
12,Marjalan koulu,Aurinkokatu 31 80140 Joensuu,"Aurinkokatu 31, FI-80140 Joensuu, Finland",address,62.63243,29.66209,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Korjaantui ilmanvaihtoputkien puhdistuksen sekä säädön jälkeen. Puhdistusta aikaistettiin parilla vuodella aiemmista suunnitelmista. Nyt ei ongelmia, terve talo. Talo valmistui 2000 ja puhdistus tapahtui 2008. Koulussa henkilökunnassa useita henkilöitä, jotka ovat altistuneet aikaisemmin eri työkohteessahuonolle sisäilmalle ja eivät voi työskennellä kuin ""puhtaissa ja terveissä"" tiloissa. Nyt heillä hyvä työympäristö.",Ei millään em. tavalla,Aikaistettiin puhdistusta kts. Edellä,2007,Ei,Ei,Ei,0 – 10 000 €,Ei,Kaupunki hoitanut korjaukset esimerkillisesti.,2000,170
13,Koivuhaan koulu,"Mäntynäädänkatu 6, 67800 Kokkola, Finland","Mäntynäädänkatu 6, FI-67800 Kokkola, Finland",address,63.82598,23.07113,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2008,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Ei,ei mitään,1975,286
14,Kalevan koulu,"Kalevankatu 66, 04230 Kerava","Kalevankatu 66, FI-04230 Kerava, Finland",address,60.42013,25.08843,kosteus- ja homeongelma,,Kosteusongelma ollut liikuntasalin ulkoseinässä. Ongelma korjattu.,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Mikrobi-ilmanäyte tullaan ottamaan ensi talvena, kunhan ulkoilman lämpötila on riittävän alhainen",2014,Kyllä,Ei,Ei,100 000 – 1 000 000 €,Ei,,1979,357
15,Niittylahden koulu,"Kummuntie 9, 82220 Niittylahti, Finland","Kummuntie 9, FI-82220 Joensuu, Finland",address,62.5206,29.86714,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Sisäilmanlaadun tutkimuksilla,,,,,,,,,1970,250
16,Yläkemijoen koulu,"Vanttauskuru 5, 97625 Vanttauskoski","Vanttauskuru 5, FI-97625 Rovaniemi, Finland",address,66.37535,26.69467,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Koulurakennus on uusi, rakennettu vuonna 2003.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,"Työpaikan fyysisen, psyykkisen ym. olosuhteiden kartoituksessa.",,,,,,,,2003,66
17,Rahkosen koulu,Rahkosentie 246 68390 Rahkonen,"Rahkosentie 246, FI-68390 Kokkola, Finland",address,63.608,24.02618,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2013,En osaa sanoa,En osaa sanoa,Ei,Rahaa ei ole käytetty,Ei,Ongelmia on ollut vain yhdellä opettajalla.,1960,32
18,Isojoen Koulukolmio,"Kristiinantie 17b, 64900 ISOJOKI","Kristiinantie 17b, FI-64900 Isojoki, Finland",address,62.1196,21.95862,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia); koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia",,Koulussamme on 1960-70-luvun taitteessa valmistunut vanhempi osa ja vuonna 2005 valmistunut lisäsiipi. Meillä on aika ajoin ollut uudella puolella ilmastoinnin kanssa ongelmia eli henkilökunta on valittanut liiasta lämpötilasta tai kuivuudesta/kosteudesta. Näissä on sitten löytynyt syyksi ilmastointilaitteen säädöt tai rikkoutunut moottori ym. Laajempaa ongelmaa ei ole havaittu.<br /><br />Vanhassa osassa on painovoimainen ilmanvaihto. Ongelmana on ollut ilmanvaihtumisen riittävyys. Hiilidioksidipitoisuuksia on mitattu pari vuotta sitten. Tänä vuonna on aloitettu luokkahuonekohtaisten ilmanvaihtokoneiden asennus.<br /><br /> ,Sisäilmanlaadun tutkimuksilla,Pari vuotta sitten on yhdessä työterveyshuollon kanssa mittailtu hiilidioksidipitoisuuksia luokissa.,2011,Ei,Ei,Ei,100 000 – 1 000 000 €,Ei,Ilmanvaihtoremontti vanhaan rakennukseen on aina hieman kysymysmerkki eli saako systeemin toimimaan. Rahoitus on varmaan lykännyt ilmanvaihdon parantamisremonttia.,2005,193
19,Toivion koulu,Korpitie 13  33920 Pirkkala,"Korpitie 13, FI-33920 Pirkkala, Finland",address,61.45143,23.72197,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Homevaurio löytyi vuonna 2010 ja laajan peruskorjauksen jälkeen sisäilmasta löytyi kuituja.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2010,Kyllä,Ei,Ei,10 000 – 100 000 €,En osaa sanoa,Vauriot saatiin korjattua ja ongelma on nyt poistunut.,1958,236
21,Heinävaaran koulu,"Isäntäläntie 1, 82110 Heinävaara","Isäntäläntie 1, FI-82110 Joensuu, Finland",address,62.5528231,30.1836859,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1999,157
