id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
160,Matinlahden koulu,"Aapelinkatu 2 - 4, 02230 Espoo, Finland","Aapelinkatu 2-4, FI-02230 Espoo, Finland",address,60.1547,24.7539,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,2006,486
161,Ollikkalan koulu,Hämeenojankatu 9 24260 Salo,"Hämeenojankatu 9, FI-24260 Salo, Finland",address,60.40061,23.13993,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2009,En osaa sanoa,Kyllä,Ei,1 000 000 – 10 000 000 €,Kyllä,Koulurakennus on täysin peruskorjattu ja saneerattu vuosina 2012-2014. Nyt ei ole ongelmia.,1979,185
162,Westendinpuiston koulu,"Hiiralantie 6, 02160 Espoo","Hiiralantie 6, FI-02160 Espoo, Finland",address,60.16388,24.7943399,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Melko uusi koulurakennus, erittäin hyvä sisäilma",Ei millään em. tavalla,"Ei ole ollut mitään aihetta teettää mitään tutkimuksia. Koulussamme on töissä useita homealtistuneita aikuisia, jotka reagoivat herkästi eikä kenelläkään ole mitään oireita; ei syytä epäillä mitään",,,,,,,,2005,307
163,Oksavan koulu,"Aholantie 19, 85820 Oksava","Aholantie 19, FI-85820 Haapajärvi, Finland",address,63.81204,25.24755,kosteus- ja homeongelma,,Vuonna 1998 koulullamme valmistui peruskorjaus ja uusi liikuntasali. Remontti tehtiin homeongelman vuoksi. Kuitenkaan ongelma ei poistunut ja kahden vuoden kuluttua jouduttiin tekemään uusi remontti yhteistyössä VTT:n kanssa. Korjausprojektista laadittiin raportti käytettäväksi apuna muissa homekorjauksissa. Ongelma poistui ja koulu on tällä hetkellä puhdas.,Muulla kuntoarviolla,,1996,Kyllä,Kyllä,Ei,1 000 000 – 10 000 000 €,Kyllä,"Kuten kerroin, remontti tehtiin kahteen kertaan luokkien osalta. Alunperin ongelma löydettiin yläpohjan tuuletuksesta ja katon liian loivasta kaltevuudesta. Uuden tutkimuksen perusteella, syynä oli alapohjan ongelmat. Sitä ei ensimmäisen remontin yhteydessä havaittu. Koulu on toiminut  nyt 15 vuotta puhtaana.",1963,77
164,Jousenkaaren koulu,"Jousenkaari 10, 02120 Espoo","Jousenkaari 10, FI-02120 Espoo, Finland",address,60.17606,24.78741,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Lämpötilat vaihtelevat suuresta luokkatilasta riippuen. Epätasalaatuinen siivous huonontaa sisäilman laatua. Koulun sokkelin vesieristettä uusitaan parhaillaan. Sisälle tulaa dieselin katkua ja bitumieristeen paistamisesta aiheutuvaa käryä.,Sisäilmanlaadun tutkimuksilla,"Sisäilmatutkimukset on tehty tänä syksynä, mutta vastauksia ei ole vielä saatu.",,Ei,Ei,Ei,10 000 – 100 000 €,En osaa sanoa,Rahan puute ja töiden aikataulujen venyminen.,1960,328
165,Perkkaanpuiston koulu,"Luutnantinkuja 2, 02600 Espoo","Luutnantinkuja 2, FI-02600 Espoo, Finland",address,60.21338,24.81982,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Tiilisen, vuonna 84 valmistuneen koulurakennuksen ilmanvaihtokoneisto on vanha ja ei toimi riittävän tehokkaasti. Luokkien ilma on oppituntien aikan tunkkainen ja ikkunoita on pidettävä auki. Tilannetta on yritetty korjata säätämällä ilmanvaihto täysille. Se on myös päällä koko ajan.<br />Lämpötilojen säätäminen on ollut myös haasteellista. Toisissa tiloissa on kylmä, toisissa liian kuuma. Myös henkilöstön omat mieltymykset vaikeuttavat asiaa.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,1990,Ei,Kyllä,Ei,10 000 – 100 000 €,Ei,,1984,190
166,Paatelan koulu,"Mäntysentie 42, 51900 Juva","Mäntysentie 42, FI-51930 Juva, Finland",address,61.91589,28.04393,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1930,49
167,Koulumestarin koulu,"Muuralanpiha 3, 02770 Espoo","Muuralanpiha 3, FI-02770 Espoo, Finland",address,60.21321,24.6418,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Todella kuumia/ kylmiä luokkia. Viime keväänä koulun sisäseinien halkeamien korjaamista, lattiahalkeamien korjaamista sekä päiväkodin puolella myös jotain hieman suurempaa korjausta.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2014,En osaa sanoa,Kyllä,Ei,0 – 10 000 €,En osaa sanoa,"Ei oikeastaan esteitä, vaan asiat hoituivat erittäin joustavasti.Ongelmana on ollut kiinteistöhoitajan saamattomuus pikkuasioiden hoitamisessa.",2007,310
168,Olarin koulu,"Olarinniityntie 4 , 02360 Espoo","Olarinniityntie 4, FI-02210 Espoo, Finland",address,60.18062,24.7358699,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1993,279
169,Teijon koulu,"Teijontie 100, 25570 TEIJO","Teijontie 100, FI-25570 Salo, Finland",address,60.251,22.95647,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1913,31
170,Linnan koulu,"Maksalantie 9, 43100 Saarijärvi","Maksalantie 9, FI-43100 Saarijärvi, Finland",address,62.68204,25.39632,kosteus- ja homeongelma,,Rakenteissa useita kosteusteknisiä riskitekijöitä,Rakennuksen kuntotutkimuksella,,2015,Ei,Kyllä,Ei,0 – 10 000 €,Ei,"Rakennuksen kosteus- ja mikrobivaurioiden sekä sisäilmaongelmien korjaaminen riskittömäksi vaatisi rakenteiden purkamisen ja uusimisen lähes runkoa myöden, eikä se ole taloudellisesti kannattavaa",1913,38
171,Muhoksen yläkoulu,"Muhostie 5, 91500 Muhos","Muhostie 5, FI-91500 Muhos, Finland",address,64.8100599,25.9887799,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella,,2014,Kyllä,Kyllä,Kyllä,Yli 10 000 000 €,Kyllä,,1954,458
172,Espoon yhteislyseon koulu,"Hansakallio 2, 02780 Espoo","Hansakallio 2, FI-02780 Espoo, Finland",address,60.18803,24.59491,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Luokkien lämpötilaeroissa vaihtelua. Joissakin luokissa havaittu silmienkirvelyä.,Ei millään em. tavalla,,2013,Ei,Kyllä,Ei,0 – 10 000 €,Ei,,1970,183
173,Mikaelin koulu,Koulukatu 8 20100 Turku,"Koulukatu 8, FI-20100 Turku, Finland",address,60.44739,22.25349,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Olemme joutuneet neljään eri kertaan muuttamaan koulumme toimipisteitä ongelmien vuoksi. Viimeisestä muutosta on aikaa neljä vuotta.,Rakennuksen kuntotutkimuksella,,2002,Ei,Kyllä,Kyllä,1 000 000 – 10 000 000 €,En osaa sanoa,"Kahdesta koulurakennuksesta opetustoimi on luopunut kokonaan, yksi on korjattu (sekin myöhemmin suljettu) ja kaksi tiloista ovat olleet väliaikaisia (näihin on vesi tullut ulkoa sisälle ja niistä tiloista on luovuttu kokonaan).",1903,185
174,Rastaalan koulu,"Fiskgjusgatan 4, 02620 Esbo, Finland","Fiskgjusgatan 4, FI-02620 Esbo, Finland",address,60.23337,24.77159,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia); koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia",,Koulumme toimii kolmessa eri rakennuksessa.  Yhdessä rakennukseesa osalla henkilökunnalla on oirehtelua. Tähän astiset tutkinnat eivät ole löytäneet syytä asiaan.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2012,Ei,Kyllä,Ei,0 – 10 000 €,En osaa sanoa,Asiaan tarvitaan lisäselvityksiä ja infoa henkilökunnalle tutkimuksista ja toimenpiteistä,1953,644
175,Oulaisten lukio,"Oulaistenkatu 54, 86300 Oulainen","Oulaistenkatu 54, FI-86300 Oulainen, Finland",address,64.2664049,24.80941,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Ikkunat eivät ole tiiviit.,Muulla kuntoarviolla,Mitattu lämpötilat ikkunan lähellä.,2000,Ei,Ei,Ei,0 – 10 000 €,Ei,,1996,160
176,Kauhajärven koulu,Honkiniementie 95 62295 Kauhajärvi,"Honkiniementie 95, FI-62295 Lapua, Finland",address,63.0126,23.47221,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Olemme viimeisen viiden vuoden aikana saaneet opetustiloihin ilmastoinnin, vielä v:lle 2016 on jäljellä keittiön ja ruokalan saneeraus.",Muulla kuntoarviolla,,,,,,,,,1957,44
177,Vuokatin koulu,KUIKKALAMMENTIE 1 88610 VUOKATTI,"Kuikkalammentie 1, FI-88610 Sotkamo, Finland",address,64.14501,28.26643,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2004,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,Ei,raha,1955,145
178,Ymmerstan koulu,"Ristihaantie 5, 02750 Espoo","Ristihaantie 5, FI-02750 Espoo, Finland",address,60.20482,24.71126,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmanvaihto on joissain tiloissa puutteellinen. Ilman lämpötila on myös joissain tiloissa ajoittain liian kylmä.,Rakennuksen kuntotutkimuksella,"Ilman lämpötiloja on mitattu, ilmanvaihtokoneiden tehoa on koetettu säätää ja ikkunat on korjattu, koska niistä löytyi rakennusvirhe (tiivistys). ",2004,Ei,Kyllä,Ei,10 000 – 100 000 €,Ei,"Prosessi on ollut erittäin hidas. Esim ikkunoiden korjaus tehtiin vuonna 2013, kun ongelma on havaittu jo 2003-2004. ",2003,326
179,Hajalan koulu,"Turuntie 896, Salo, Finland","Vanha Turuntie 896, FI-25240 Salo, Finland",address,60.41693,22.94844,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1909,44
180,Uramon koulu,"Uramontie 63, 11120 Riihimäki, Finland","Uramontie 63, FI-11120 Riihimäki, Finland",address,60.74971,24.76075,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Koulu on käyttökiellossa ja olemme olleet väistötiloissa jo kohta kolme vuotta.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Rakennus on tutkittu perinpohjin ja sitä kautta päädytty käyttökieltoon. Nyt on tehty tarveselvitys ja hankesuunnitelma, mutta rakentamaan ei ole päästy, koska poliitikot ""jahkaavat"" päätösten kanssa. Hintalappu on liian korkea ja suunnitelmat liian ""elitistisiä"". Maallikot ""ampuvat alas"" asiantuntijoiden tekemiä suunnitelmia. Demokratia kukoistaa...",2010,Kyllä,Kyllä,Kyllä,Rahaa ei ole käytetty,Ei,"Taloudellinen laskukausi lopetti kaupungissa hyvin alkaneen ""peruskorjausbuumin"". Kymmenen vuoden aikana on kuntoon laitettu yksi alakoulu, lukio ja kaikki kolme yläkoulua. Korjausvelkaa on kertynyt yli 50 milj. Tämän vuoksi poliitikot nyt yrittävät viivytellä uuden koulun rakentamista ja me joudumme viettämään ""evakossa"" kuusi vuotta.",1970,237
181,Kähärin koulu,"Pietari Valdin katu 14, 20100 Turku","Pietari Valdin katu 14, FI-20100 Turku, Finland",address,60.45718,22.24709,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1909,124
182,Patastenmäen koulu,"Patastenmäentie 42, 11130 Riihimäki, Finland","Patastenmäentie 42, FI-11130 Riihimäki, Finland",address,60.73421,24.8053199,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Pölyinen sisäilma, ilmanvaihdon laadun vaihtelu, ilmanpaineen vaihtelu.<br />Tilanne helpottunut korjaustoimenpiteiden jälkeen.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2004,Ei,Kyllä,Ei,10 000 – 100 000 €,En osaa sanoa,Eri ihmiset oireilevat eri tavoin. Jotkut reagoivat herkästi ja jotkut eivät ollenkaan.  Vaikea tietää mistä mikäkin johtuu.,1957,151
183,Turun normaalikoulu,"Annikanpolku 9, 20610 Turku","Annikanpolku 9, FI-20610 Turku, Finland",address,60.44733,22.35847,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Korkeat hiilidioksiidipitoisuudet,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Talossa ei ole ilmennyt mittauksissa tai tutkimuksissa homeongelmaa.<br />Talo menee peruskorjaukseen iän vuoksi. Ongelmana on ollut liian suuri ihmismäärä suhteessa ilmanvaihtoon > korkeat hiilidioksiidipitoisuudet. Asia korjaantuu käynnissä olevassa peruskorjauksessa.,,Kyllä,Kyllä,Ei,100 000 – 1 000 000 €,Ei,"Rakennnuksen peruskorjaus valmistuu 2017. Olemme tällä hetkellä evakossa. Vuokra nousee 120%, joka summa otetaan pois opetuksesta. Lisärahaa ei ole tulossa.<br /><br />Aiemmat vastaukset koskivat peruskorjaamatonta kiinteistöä. ",1980,680
184,Tiiton koulu,"Tiitonrannantie 201, 85800 Haapajärvi, Finland","Tiitonrannantie 201, FI-85800 Haapajärvi, Finland",address,63.75704,25.29534,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmastoinnin käynnin ajoittamisessa on ollut hieman toivomisen varaa. Ilmastointi on osan vuorokaudesta vajaalla teholla.,Muulla kuntoarviolla,"Vuosittaisissa tarkistuksissa kunto arvioidaan, mutta varsinaisia ilmanlaadun mittauksia ei ole toistaiseksi ollut tarpeen tehdä. ",,,,,,,,1934,93
185,Karan koulu,"Kalevankatu 13-17, Riihimäki","Kalevankatu 13-17, FI-11100 Riihimäki, Finland",address,60.7386,24.76136,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,"Koulu on peruskorjattu 6 vuotta sitten, ja siinä yhteydessä tehtiin ko. tutkimukset. Ennen peruskorjausta ei ollut kosteus- ja homeongelmia.<br />Peruskorjauksen jälkeen on myös seurattu asiaa.",,,,,,,,1956,408
186,Leppävaaran lukio,"Veräjäpellontie 10, 02650 Espoo","Veräjäpellonkatu 10, FI-02650 Espoo, Finland",address,60.22576,24.80593,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Pahaa hajua ja tunkkaisuutta.,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Sisäilmamittauksia on tehty (kesken) ja rakenteellisia korjauksia on tehty (ja tehdään vieläkin).,2013,Ei,Kyllä,Ei,100 000 – 1 000 000 €,Ei,Asioiden käsittelyn hitaus sekä korjaus- ja mittaustoimenpiteistä aiheutuva haitta perustyölle (opetusta ei ole pystytty kaikilta osin  järjestämään niin kuin olisi pitänyt),1959,359
187,Mikkelin Lyseon koulu,"Porrassalmenkatu 30, 50100 Mikkeli","Porrassalmenkatu 30, FI-50100 Mikkeli, Finland",address,61.69406,27.27775,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Kuvataiteen tilossa kosteusongelma. <br /><br />Lisäksi koko kiinteistöä koskeva siivouksen heikko laatu.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Kunto- ja kosteustutkimus kuvataiteen tilaan liittyen.<br />Siivouksen osalta päivittäisellä havainnoinnilla ja siivouksen laatukierroksilla.,2015,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,En osaa sanoa,"Kuvataiteen tilan kuntoonsaattaminen sujui joustavasti.<br /><br />Siivouksen osalta se, ettei laatu parane, vaikka kaikki tiedostavat ongelman. Ongelma liitty mitoitukseen eikä sitä lisätä, koska sopimuksessa on mitoitusperuste kirjattuna.",1943,423
188,Hansakallion koulu,"Hansakallio 4, 02780 Espoo, Finland","Hansakallio 4, FI-02780 Espoo, Finland",address,60.18981,24.59325,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1958,470
189,Peltosaaren koulu,Telluskatu 8 11130 Riihimäki,"Telluskatu 8, FI-11130 Riihimäki, Finland",address,60.7363,24.78969,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2010,Ei,Kyllä,Ei,100 000 – 1 000 000 €,Ei,"- Ei tiedetä ongelmaa<br />- Koulu on täydellisen peruskorjauksen tarpeessa, mutta peruskorjaus ei ole ollut taloudellisesti mahdollinen.",1978,227
190,Launialan koulu,"Saimaannorpankatu 1, 50190 Mikkeli","Saimaannorpankatu 1, FI-50190 Mikkeli, Finland",address,61.693857,27.3188551,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Kosteus oli päässyt muovimattojen alle ja kemiallinen reaktio eritti VOC-kaasuja huoneilmaan.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2011,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,Ei,Tutkimukset kestävät turhan pitkään. Oirehtivat henkilöt joutuvat olemaan liian pitkään sisäilmaltaan huonoissa tiloissa. Korjaukset tehdään pääosin kesän aikana pienissä osissa. Koko koulua ei remontoida kerralla kuntoon.,1991,100
191,Martinmäen koulu,"Pohdinkatu 9, 85800 Haapajärvi, Finland","Pohdinkatu 9, FI-85800 Haapajärvi, Finland",address,63.75441,25.32871,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ilmastointia ei pidetä riittävästi päällä, vaan se sammutetaan yöksi",Sisäilmanlaadun tutkimuksilla,,2012,Ei,Ei,Ei,0 – 10 000 €,Ei,Meidän ongelma on vaan se että ilmastointi olisi aina päällä ja se vaatii pienen satsauksen talousarvioon. Ongelma on käsittelyssä ja se kyllä oikenee...,1952,470
192,Rutakon koulu,Lyseotie 3 74300 Sonkajärvi,"Lyseotie 3, FI-74300 Sonkajärvi, Finland",address,63.66872,27.521,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,"Enne kouluun tuloa lv.2013 ollut tutkimuksia. Aikanani ei ole olluty asian suhteen ongelmia, joten ei tutkimuksiakaan.",,,,,,,,2005,230
193,Neuvottoman koulu,Suntiontie 1 49490 Neuvoton,"Suntiontie 1, FI-49490 Hamina, Finland",address,60.55991,27.04949,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2011,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,En osaa sanoa,Ensimmäinen korjausyritys epäonnistui. Sitten korjattiin uudelleen. Kolmannella kerralla korjattiin vielä korjaamattomat tilat.,1983,109
194,Ihastjärven koulu,"Ihastjärventie 170, 50970 Mikkeli","Ihastjärventie 170, FI-50970 Mikkeli, Finland",address,61.85283,27.17262,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmanvaihto ei ole lämpimällä säällä tarpeeksi tehokas kaikissa tiloissa.,Ei millään em. tavalla,,,,,,,,,2011,56
195,Tiistenjoen koulu,"Paavolantie 7, 62165 Tiistenjoki, Finland","Paavolantie 7, FI-62165 Lapua, Finland",address,62.90866,23.22979,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmanvaihto oli tullut tiensä päähän. Se uusittiin.,Muulla kuntoarviolla,,,,,,,,,1964,64
196,"Luostarivuoren koulu, martin yksikkö","Silversmedsgränd 2, 20810 Åbo, Finland","Silversmedsgränd, FI-20810 Turku, Finland",street,60.44089,22.25929,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,On tehty työpaikkaselvitys n. kuukausi sitten. Tuloksia odotetaan.,Ei millään em. tavalla,On tehty työpaikkaselvitys n. kuukausi sitten. Tuloksia odotetaan.<br /><br />Kiinteistöön siirrettiin syksyllä opettajia sisäoilmaongelmista kärsivistä kouluista. Tässä koulussa he voivat hyvin.,,Ei,Kyllä,Ei,1 000 000 – 10 000 000 €,En osaa sanoa,,1927,347
197,Olkkolan koulu,"Porrassalmentie 57, 50700 MIKKELI","Porrassalmentie 57, FI-50700 Mikkeli, Finland",address,61.62066,27.27672,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1902,46
198,Laajalahden koulu,"Elisenvaaragränden 9, 02140 Esbo, Finland","Elisenvaaragränden 9, FI-02140 Esbo, Finland",address,60.2041899,24.8094251,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Kosteusongelma on ollut, mutta se on korjattu yli 5 v sitten.<br />Ilmanvaihto on riittämätön monin paikoin taloa.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2007,Kyllä,Kyllä,Kyllä,0 – 10 000 €,En osaa sanoa,"Viemäririkko korjattiin ensin vain maalaamalla kostuneet seinät tutkimatta asiaa tarkemmin. Vasta, kun maali alkoi kupruilla vuotavan veden takia, aloitettiin asianmukaiset korjaustoimet.",1985,300
199,Rajakylän koulu,"Latukuja 1, 01280 Vantaa","Latukuja 1, FI-01280 Vantaa, Finland",address,60.25227,25.10885,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Huono ilmanlaatu,Ei millään em. tavalla,"Olemme tehneet tutkimuspyynnön, mutta asiaan ei ole reagoitu",2014,Ei,En osaa sanoa,Ei,Rahaa ei ole käytetty,Ei,Asiaan ei ole reagoitu hoitavalla taholla.,2005,444
200,Saimaanharjun yhtenäiskoulu,"Ankeriaantie 10, 54915 Saimaanharju","Ankeriaantie 10, FI-54915 Taipalsaari, Finland",address,61.13307,28.09745,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulussamme ei ole homeongelmaa, vaan kosteusongelma sekä sisäilman laatuun liittyviä ongelmia.",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Keväällä 2015 tehtiin laajamittaiset tutkimukset ja elo-syyskuussa perusteellinen kuntoarvio korjaussuunnitelmaa ja kustannusarviota varten.,2015,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,Ei,Ei toistaiseksi mitään.<br />Käytössä olevat tilat on varustettu tehokkailla ilmanpuhdistimilla.<br />Kunnassa valmistellaan parhaillaan laajaa oppilaille ja henkilöstölle tehtävää oirekyselyä sekä tutkitaan vaihtoehtoja tiettyjen luokkien väistötiloiksi.<br />Asia on edennyt ihan hyvässä aikataulussa.<br /><br />Taustatiedoissa koulurakennuksen rakentamisvuosi: rakennukset rakennettu 1970-luvun lopussa ja 1980 alussa.,1980,350
201,Nummenpakka,"Papink.4, 20520 Turku","Papinkatu 4, FI-20540 Turku, Finland",address,60.46208,22.2970599,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,"Ympäristöterveyden tutkimus. <br />Kiinteistön jatkuva tarkkailu ja epäkohtiin puuttuminen.<br /><br />*Koulun rakennusvuosi 1960, laajennus 2004",,,,,,,,1960,420
202,Evijärven keskikoulu,"Voltintie 6, 62500 Evijärvi","Voltintie 6, FI-62510 Evijärvi, Finland",address,63.3614,23.45503,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Ongelmat ovat vähäisiä.,,,,,,,,1954,92
203,Karakallion koulu,"Kotkakuja 5, 02620 Espoo","Kotkakuja 5, FI-02620 Espoo, Finland",address,60.22982,24.75775,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,2014,398
